1503,Midlands and Wales,ABC1,Female,25,,Selected,,,,Selected,,,,,,Selected,,,,,,,Selected,,,,,,,,,,,,,,,Selected,Agree strongly,Agree slightly,Agree slightly,Agree strongly,,Selected,,,,,,,,,,,Selected,,,,Selected,,,,Selected,,,Selected,,,,,No,,Selected,,,,,,,,,,,,,,Disagree slightly,Disagree slightly,Agree strongly,Disagree slightly,,,,,,,,Selected,,Disagree slightly,Agree slightly,Disagree slightly,Agree slightly
1540,North,ABC1,Female,26,Selected,Selected,Selected,Selected,,Selected,,Selected,Selected,,,Selected,,,,,Selected,Selected,Selected,,,,,,,,,,,,,,,Selected,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,,,,,,,,,,,,,,Selected,,,,,,,,,,,,,Selected,No,,,,,,,,,,,,,,,Selected,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,,,,,,,,Selected,Agree slightly,Agree slightly,Agree slightly,Agree slightly
1546,Scotland,C2DE,Male,66,Selected,Selected,,,,Selected,,Selected,Selected,,,Selected,Selected,Selected,Selected,,Selected,Selected,Selected,,,Selected,Selected,Selected,,Selected,Selected,Selected,,Selected,Selected,,,,Agree slightly,Agree slightly,Agree strongly,Agree slightly,Selected,Selected,,,Selected,,,,Selected,,Selected,Selected,Selected,Selected,,,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,,No,,,,,,,,,,,,,,,Selected,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,Selected,,,Selected,Selected,Selected,Selected,,Agree slightly,Agree slightly,Agree slightly,Disagree slightly
1719,North,ABC1,Female,69,Selected,Selected,,Selected,,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,,Selected,,,,,,,Selected,Selected,,,Selected,Selected,Selected,Selected,Selected,,Selected,,,Disagree slightly,Agree slightly,Agree strongly,Agree slightly,Selected,Selected,,,Selected,Selected,Selected,,,Selected,,,Selected,Selected,,,,,,,,Selected,Selected,Selected,Selected,,,,No,,Selected,,,,,,,Selected,,,Selected,,Selected,,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Selected,,,,Selected,Selected,,Selected,,Agree strongly,Disagree slightly,Agree slightly,Disagree slightly
1758,Midlands and Wales,ABC1,Female,54,Selected,Selected,,,,Selected,,,Selected,,,Selected,,,,,,,,,,Selected,Selected,Selected,,,Selected,Selected,Selected,,Selected,,,,Agree slightly,Agree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,Selected,,Selected,Selected,Selected,,,Selected,,Selected,,,,,No,,,,,,,,,,,,,,,Selected,Disagree strongly,Disagree strongly,Agree slightly,Disagree strongly,,,,,,,,,Selected,Disagree slightly,Agree slightly,Disagree slightly,Disagree slightly
1794,Midlands and Wales,ABC1,Female,53,Selected,,,Selected,,Selected,Selected,,Selected,,Selected,Selected,,Selected,,,,,,,,Selected,,Selected,,,Selected,,Selected,,,,,,Agree strongly,Agree strongly,Agree strongly,Agree slightly,,,,,,,,,,,,,,,Selected,,Selected,Selected,Selected,,Selected,,,,,Selected,Selected,,No,,,,,,,,,,,,,,,Selected,Disagree strongly,Disagree strongly,Agree strongly,Disagree slightly,,,,,,,,,Selected,Disagree strongly,Agree slightly,Disagree slightly,Agree slightly
1800,Rest of South,C2DE,Female,73,Selected,,,,,Selected,,,Selected,,Selected,Selected,,,,,,Selected,,,,Selected,Selected,Selected,,,Selected,Selected,,Selected,,,,,Agree slightly,Agree strongly,Agree strongly,Agree slightly,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,,Selected,,,,,Selected,Selected,,,Selected,,,No,,,,,,,,,,,,,,,Selected,Agree slightly,Agree strongly,Agree strongly,Agree strongly,,Selected,Selected,Selected,Selected,Selected,,Selected,,Agree slightly,Disagree slightly,Agree strongly,Disagree slightly
1860,Midlands and Wales,ABC1,Female,30,,,,,,,,,,,,,,,,,,,,,Selected,,,,,,,,Selected,Selected,Selected,Selected,,,Agree strongly,Agree slightly,Agree slightly,Agree slightly,,Selected,,Selected,,,,,Selected,,Selected,Selected,Selected,Selected,,,Selected,Selected,Selected,,,,,,Selected,,,,No,,Selected,,,,,,Selected,,,,,,Selected,,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,,,,Selected,Selected,,Selected,,Disagree strongly,Agree slightly,Disagree slightly,Disagree slightly
1919,London,C2DE,Male,55,Selected,Selected,Selected,,,,,,,,,,,,,,Selected,,,,,Selected,,,,,,,,,,,,,Disagree slightly,Agree strongly,Agree strongly,Agree slightly,,Selected,,,,,,,Selected,,,,Selected,,,,Selected,,,,,Selected,,,Selected,,,,No,,,,,,,,,,,,,,,Selected,Disagree slightly,Disagree slightly,Agree strongly,Agree slightly,,,,,,,,Selected,,Agree slightly,Disagree strongly,Agree slightly,Disagree slightly
1963,North,C2DE,Female,54,Selected,Selected,Selected,Selected,,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,,Selected,Selected,Selected,,,,,Selected,,Selected,,Selected,Selected,Selected,Selected,,Selected,Selected,,,Agree strongly,Agree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,Selected,,Selected,Selected,Selected,,Selected,Selected,Selected,Selected,,Selected,,,No,Selected,,,Selected,,Selected,,Selected,,,,,Selected,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,,,,,,,,,Selected,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly
1979,Midlands and Wales,ABC1,Female,67,Selected,Selected,,,,Selected,,Selected,Selected,,,,,,,,,Selected,,,,Selected,Selected,Selected,Selected,,,Selected,,,Selected,,Selected,,Disagree slightly,Agree slightly,Agree strongly,Agree slightly,,,,,,,,,,,,,,,Selected,,Selected,Selected,Selected,,Selected,Selected,Selected,Selected,Selected,Selected,,,No,,,,,,Selected,,Selected,,,,,Selected,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,,,,,,,,,Selected,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly
2025,Midlands and Wales,ABC1,Female,45,,,Selected,,,Selected,,Selected,Selected,,,Selected,,,,,,Selected,,,,Selected,,Selected,Selected,Selected,Selected,Selected,Selected,,,Selected,,,Agree strongly,Agree strongly,Agree strongly,Agree slightly,,,,,,,,,,,,,,,Selected,,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,,No,,,,,,Selected,,Selected,,,,,,,,Disagree strongly,Disagree strongly,Agree slightly,Disagree strongly,,,,,,,,,Selected,Disagree strongly,Agree slightly,Disagree slightly,Agree slightly
2032,London,C2DE,Female,40,,Selected,,,,Selected,,Selected,,Selected,,,,,,,,,,,,,,Selected,,,,,,,,,,,Agree strongly,Agree strongly,Agree slightly,Disagree slightly,,,,,,,,,,,,,,,Selected,,,,,,,,,,,,,Selected,No,,,,,,,,,,,,,,,Selected,Disagree slightly,Disagree strongly,Disagree slightly,Disagree strongly,,,,,,,,,Selected,Disagree slightly,Disagree strongly,Agree slightly,Agree slightly
2035,Rest of South,ABC1,Male,70,,Selected,,,,Selected,,Selected,,,,,,Selected,,,,,,,,Selected,Selected,,,,Selected,Selected,,,,,,,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,,,,,,,,,,,,,,Selected,,Selected,Selected,Selected,,,Selected,Selected,Selected,Selected,Selected,,,No,,,,,,Selected,,,,,,Selected,,,,Disagree slightly,Disagree strongly,Agree strongly,Disagree slightly,,,,,Selected,,,,,Disagree strongly,Agree slightly,Disagree slightly,Disagree slightly
2058,London,ABC1,Female,54,Selected,Selected,,,,Selected,Selected,,Selected,,,Selected,,,Selected,,,,Selected,,,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,,,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,Selected,Selected,,,Selected,Selected,,,,,,,,Selected,,,,Selected,,,No,,Selected,Selected,,,,Selected,,Selected,,,Selected,,,,Agree strongly,Agree strongly,Agree slightly,Agree strongly,,,,,Selected,Selected,,Selected,,Agree slightly,Agree slightly,Disagree slightly,Disagree slightly
2079,Rest of South,ABC1,Female,66,Selected,Selected,,,,Selected,Selected,,,,,Selected,,,,,,,Selected,,,Selected,Selected,Selected,,Selected,,Selected,Selected,,,,,,Agree slightly,Agree slightly,Agree strongly,Agree strongly,,Selected,Selected,Selected,,,,,Selected,,,,Selected,,,,Selected,Selected,Selected,,,,Selected,Selected,Selected,,,,No,,,,,,,,,,,,,,,Selected,Disagree slightly,Disagree slightly,Agree strongly,Agree slightly,,Selected,,,Selected,,,,,Disagree strongly,Agree slightly,Disagree slightly,Disagree slightly
2115,Rest of South,C2DE,Female,30,Selected,Selected,Selected,,,Selected,,,Selected,,,,Selected,,,,Selected,,Selected,,,Selected,Selected,Selected,Selected,,,,,,,Selected,,,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,Selected,,,,,,,,,,,Selected,,,Selected,Selected,Selected,,,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,No,,,,,,,,,,,,,,,Selected,Disagree slightly,Disagree slightly,Agree strongly,Disagree slightly,,,,,,,,Selected,,Disagree slightly,Disagree slightly,Disagree slightly,Agree slightly
2125,Midlands and Wales,ABC1,Female,45,Selected,,,,,Selected,,Selected,Selected,,Selected,Selected,,,,,,,,,,Selected,Selected,,,,Selected,Selected,,,Selected,,,,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,Selected,,,,,Selected,,,,,Selected,,Selected,,,Selected,,,,,,Selected,,,Selected,,,No,,Selected,,,,,Selected,,Selected,,,Selected,,,,Disagree slightly,Agree slightly,Agree strongly,Agree slightly,,,,,,Selected,,Selected,,Agree slightly,Disagree slightly,Agree slightly,Disagree slightly
2128,London,C2DE,Female,64,Selected,Selected,,,,Selected,,,,,Selected,,,Selected,,,,,,,,,,Selected,,,,Selected,,,,Selected,Selected,,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,,,,,,,,,,,,,,,Selected,,Selected,Selected,,,Selected,Selected,Selected,,,,,,No,,,,,,,,,,,,,,,Selected,Disagree strongly,Agree slightly,Agree strongly,Disagree strongly,,,,,,,,,Selected,Disagree slightly,Disagree slightly,Disagree slightly,Disagree slightly
2179,Rest of South,C2DE,Female,52,,Selected,Selected,,,Selected,,,Selected,Selected,,Selected,Selected,,,,Selected,,Selected,Selected,,,Selected,Selected,Selected,Selected,Selected,Selected,Selected,,,,,,Agree slightly,Agree strongly,Agree strongly,Agree strongly,Selected,Selected,,,,Selected,,,Selected,Selected,Selected,,,Selected,,,Selected,Selected,Selected,Selected,,Selected,Selected,Selected,Selected,Selected,,,No,,Selected,Selected,,,,Selected,Selected,Selected,,,Selected,,,,Agree slightly,Disagree slightly,Agree strongly,Agree strongly,Selected,,,,Selected,,,Selected,,Agree slightly,Agree slightly,Disagree strongly,Disagree slightly
2278,Rest of South,ABC1,Female,69,Selected,,,,Selected,,Selected,,,,,Selected,,,,,,Selected,,,,Selected,Selected,Selected,,Selected,Selected,Selected,Selected,,Selected,Selected,,,Agree slightly,Agree slightly,Agree strongly,Agree slightly,,Selected,,,,Selected,,,,,,,Selected,,,,Selected,Selected,Selected,Selected,Selected,Selected,,Selected,Selected,,Selected,,No,Selected,,,,Selected,Selected,,,,,,,,,,Disagree slightly,Disagree slightly,Agree strongly,Disagree slightly,,,,,,,,,Selected,Disagree slightly,Agree slightly,Disagree slightly,Disagree slightly
2300,North,C2DE,Female,63,,,,,,Selected,,,,,,,,,,,,,Selected,,,Selected,,,Selected,,Selected,,,,,,,,Agree slightly,Agree strongly,Agree slightly,Agree slightly,,,Selected,,,,,,,,,,,,,,Selected,Selected,Selected,,,Selected,Selected,Selected,,,,,No,,,,,,,,,,,,,,,Selected,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,,,Selected,,,,,,Disagree strongly,Agree slightly,Disagree slightly,Agree slightly
2343,Rest of South,C2DE,Female,62,Selected,,,,,Selected,Selected,,,,Selected,,,Selected,,,,Selected,,,,Selected,Selected,Selected,,Selected,Selected,Selected,Selected,,Selected,,,,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,,Selected,,Selected,,Selected,,,Selected,,,,Selected,Selected,,,Selected,Selected,,,Selected,Selected,Selected,,Selected,Selected,,,No,,,,,,,,,,,,,,,Selected,Agree slightly,Agree slightly,Agree strongly,Agree slightly,,,Selected,,,,,Selected,,Disagree slightly,Disagree slightly,Disagree slightly,Agree slightly
2389,Midlands and Wales,C2DE,Female,57,Selected,,Selected,,,Selected,,Selected,Selected,,Selected,Selected,,Selected,,,,,,Selected,,,,Selected,,Selected,Selected,,,,,,,,Agree slightly,Agree strongly,Agree strongly,Agree slightly,,,,,,,,,,,,,,,Selected,,,,,,,,,,,,,Selected,No,,,,,,,,,,,,Selected,,,,Agree slightly,Agree slightly,Agree slightly,Agree slightly,,,,,,,,Selected,,Agree slightly,Agree slightly,Agree slightly,Disagree slightly
